               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.027186,             0.08483,           0.0029429,             0.83124,             0.63978,              0.6659,             0.53702,            0.027353,            0.066064,           0.0034526,            0.002476,            0.002476,            0.002476
                  78,            0.026606,            0.087964,            0.003049,             0.79811,             0.64458,              0.6722,              0.5383,            0.027409,             0.06565,           0.0034001,            0.002377,            0.002377,            0.002377
                  79,             0.02778,            0.087873,           0.0029394,             0.79616,             0.64821,             0.67915,              0.5241,            0.027402,            0.065484,           0.0034902,            0.002278,            0.002278,            0.002278
                  80,            0.026899,            0.086467,            0.002863,             0.83421,             0.62645,             0.66448,             0.52142,            0.027192,            0.065875,           0.0035417,            0.002179,            0.002179,            0.002179
                  81,            0.027184,            0.087873,           0.0027969,             0.81226,             0.62691,             0.64783,             0.51028,            0.026871,            0.065172,           0.0036852,             0.00208,             0.00208,             0.00208
                  82,            0.026513,            0.085006,           0.0029864,             0.83608,             0.63597,              0.6801,             0.53568,            0.027049,             0.06624,           0.0035496,            0.001981,            0.001981,            0.001981
                  83,            0.025855,            0.085296,           0.0028502,             0.80226,             0.66584,             0.69539,             0.55826,             0.02716,            0.064964,           0.0033094,            0.001882,            0.001882,            0.001882
                  84,            0.026509,            0.086706,           0.0031874,             0.86201,             0.70335,             0.71268,             0.56042,            0.027288,            0.065924,           0.0031282,            0.001783,            0.001783,            0.001783
                  85,             0.02615,            0.085105,           0.0029372,             0.85888,             0.66242,             0.70532,             0.56774,            0.026977,            0.065841,           0.0031577,            0.001684,            0.001684,            0.001684
                  86,            0.026123,            0.082876,           0.0028594,             0.84502,             0.63075,             0.69123,             0.55277,             0.02684,            0.066045,           0.0033648,            0.001585,            0.001585,            0.001585
                  87,            0.024826,            0.081537,           0.0026549,             0.82976,             0.64838,             0.68652,               0.544,            0.026798,            0.064518,           0.0034971,            0.001486,            0.001486,            0.001486
                  88,            0.025118,            0.084126,           0.0026508,             0.82742,             0.64048,             0.68493,             0.54623,            0.026833,            0.064876,           0.0035625,            0.001387,            0.001387,            0.001387
                  89,            0.025198,             0.08084,           0.0025711,             0.85444,             0.63242,              0.6936,             0.55883,            0.026712,            0.064768,           0.0033466,            0.001288,            0.001288,            0.001288
                  90,            0.025567,            0.082006,           0.0028114,             0.83024,             0.64295,             0.68309,             0.53914,            0.026664,            0.064019,           0.0035053,            0.001189,            0.001189,            0.001189
                  91,            0.024251,            0.081289,           0.0025527,             0.82846,             0.63908,             0.67408,             0.53687,            0.026687,            0.064523,            0.003583,             0.00109,             0.00109,             0.00109
                  92,            0.025783,            0.082175,           0.0028934,             0.81224,             0.63498,             0.66567,             0.53361,            0.026753,            0.064406,            0.003566,            0.000991,            0.000991,            0.000991
                  93,            0.024927,             0.07902,           0.0024089,              0.8409,             0.62675,             0.66958,             0.53163,            0.026619,            0.064645,           0.0035221,            0.000892,            0.000892,            0.000892
                  94,             0.02501,            0.080298,           0.0024446,             0.84138,             0.62535,             0.66224,             0.52127,            0.026684,            0.064611,           0.0034436,            0.000793,            0.000793,            0.000793
                  95,            0.024757,            0.082657,           0.0027278,             0.82302,             0.62563,             0.64801,             0.51407,            0.026635,            0.064897,           0.0036541,            0.000694,            0.000694,            0.000694
                  96,            0.024649,            0.083912,           0.0025405,             0.84443,             0.62655,             0.65312,             0.52106,            0.026443,            0.064123,           0.0035231,            0.000595,            0.000595,            0.000595
                  97,            0.024441,            0.080537,           0.0025526,             0.83819,             0.62747,             0.65291,             0.52055,            0.026416,            0.064095,           0.0035553,            0.000496,            0.000496,            0.000496
                  98,            0.024876,            0.083679,           0.0024568,             0.84315,             0.62876,             0.65595,             0.52184,             0.02648,            0.064235,           0.0034225,            0.000397,            0.000397,            0.000397
                  99,            0.024722,            0.076445,            0.002568,             0.83292,             0.63284,             0.65584,             0.52139,            0.026421,            0.063592,           0.0034989,            0.000298,            0.000298,            0.000298
